Aractip,Marka,Model,Arac Kayit Tip,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Total
MOTORLU TR (ATV),CAN-AM,SSV MAV UTV,Yeni,0,0,0,0,0,0,0,0,1,0,1,1,3
MOTOSİKLET,CITYCOO,C-MOBİ,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTOSİKLET,CROX,125,Yeni,0,0,0,0,1,0,1,0,0,0,0,0,2
MOTOSİKLET,CROX,SYM,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1
MOTOSİKLET,DUCATI,SCRAMBLER 800,Yeni,0,0,0,0,0,0,0,1,0,0,2,0,3
TRAKTÖR,ERKUNT,SERVET 854,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYONET,FIAT,FİORİNO,Yeni,1,0,0,1,3,2,0,1,0,0,1,2,11
OTOBÜS,FIAT,DUCATO,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,FIAT,EGEA,Yeni,0,0,0,0,2,0,0,0,0,1,0,0,3
PANELVAN,FIAT,DOBLO,Yeni,0,0,0,0,1,6,0,1,0,3,1,2,14
PANELVAN,FIAT,DUCATO,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
MOTOSİKLET,FIDDLE 111,125,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYONET,FORD,COURIER,Yeni,0,1,10,0,2,0,0,1,0,0,0,2,16
KAMYONET,FORD,350L,Yeni,0,1,1,0,2,0,0,0,0,0,1,0,5
KAMYONET,FORD,TRANSİT,Yeni,0,1,9,2,0,0,1,0,0,4,2,10,29
ÇİFT KABİN,FORD,RANGER,Yeni,0,0,1,1,0,1,0,0,1,1,1,4,10
ESTATE,FORD,KUGA,Yeni,0,0,1,1,1,1,0,0,0,0,0,0,4
KAMYON,FORD,470ED,Yeni,0,0,2,0,1,0,0,0,0,0,0,0,3
SALON ARAÇ,FORD,FOCUS,Yeni,0,0,0,1,4,2,4,1,3,9,2,1,27
ESTATE,FORD,PUMA ST-LINE,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1
KAMYON,FORD,310 L,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1
OTOBÜS,FORD,310 L,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1
KAMYONET,FORD,340L,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1
SALON ARAÇ,FORD,FİESTA,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
KAMYONET,FORD,CUSTOM,Yeni,0,0,0,0,0,0,0,0,0,1,1,0,2
KAMYON,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,0,2,3,0,5
SALON ARAÇ,FORD,COURIER,Yeni,0,0,0,0,0,0,0,0,0,0,1,2,3
ÇİFT KABİN,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1
MOTOSİKLET,HARLEY DAVIDSON,MOTOSİKLET,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1
KAZICI-YÜKLEYİCİ,HİDROMEK,BACKHOE LOADER,Yeni,1,0,0,0,0,0,0,0,0,1,0,0,2
KAZICI-YÜKLEYİCİ,HİDROMEK,HMK 102B,Yeni,0,0,1,0,0,0,1,0,1,0,1,1,5
MOTOSİKLET,HONDA,NSC,Yeni,1,0,0,0,10,0,0,2,2,0,1,0,16
SALON ARAÇ,HONDA,HR-V,Yeni,3,1,2,3,8,1,2,1,1,4,2,7,35
MOTOSİKLET,HONDA,ACTİVA,Yeni,4,4,1,4,7,3,2,1,2,37,4,12,81
SALON ARAÇ,HONDA,CIVIC,Yeni,1,0,8,5,7,3,0,0,1,7,2,13,47
