Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total,
MOTOSİKLET,MONDIAL,TOURING 125 MC,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,MONDIAL,150X THREME,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,MONDIAL,LOYAL100,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,MOTOLUX,ROSSI RS 125,Yeni,0,0,0,0,0,0,0,0,1,1,0,0,2,
TRAKTÖR,NEW HOLLAND,T480 4WD,Yeni,0,0,0,0,0,2,0,0,0,0,0,0,2,
ESTATE,NİSSAN,QASHGAİ,Yeni,0,1,0,0,0,1,2,1,0,0,0,0,5,
ESTATE,NİSSAN,JUKE,Yeni,0,0,2,0,0,3,0,0,1,0,0,2,8,
ÇİFT KABİN,NİSSAN,NAVARA,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
SALON ARAÇ,NİSSAN,PULSAR,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
SALON ARAÇ,NİSSAN,NOTE,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
SALON ARAÇ,OPEL,CORSA,Yeni,0,0,16,1,0,1,0,3,0,0,0,0,21,
SALON ARAÇ,OPEL,CROSSLAND,Yeni,0,0,1,0,0,0,0,4,0,0,0,0,5,
SALON ARAÇ,OPEL,MOKKA,Yeni,0,0,1,0,0,1,0,1,0,0,2,0,5,
KAMYONET,OPEL,COMBO,Yeni,0,0,0,1,0,0,0,0,1,0,1,0,3,
SALON ARAÇ,OPEL,ASTRA,Yeni,0,0,0,0,0,2,0,0,0,0,0,0,2,
SALON ARAÇ,OPEL,INSIGNIA,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
ESTATE,OPEL,MOKKA,Yeni,0,0,0,0,0,0,0,3,2,1,0,3,9,
ESTATE,OPEL,CROSSLAND,Yeni,0,0,0,0,0,0,0,0,2,0,0,1,3,
ESTATE,OPEL,GRANDLAND,Yeni,0,0,0,0,0,0,0,0,0,1,4,2,7,
MOTOSİKLET,PEUGEOT,GEOPOLIS 400,Yeni,0,0,0,0,0,1,0,0,0,0,1,0,2,
